Project Status,1st Review,2nd Review,Average Score,Initial Review Notes,Project #,Project Combined,Project Title,Need:,Idea:,Coordinates,Location?,Project Type,Dept.,Who Benefits?,Council District ,Neighborhood
Did Not Advance,6,13,9.5,,17-709,,Improve facilities at Regrade dog park ,Regrade Dog Park is very dark during the winter months and needs beautification for the summers months.,Install lighting including lights to highlight the new installed dog mural.  Install hanging flowers and flowers in the flower beds during the summer months.,"47.616000, -122.340000",Denny Regrade Dog Park ,Lighting,Parks,Dog park users and pedestrians using Bell Street Park and Metro station.,7,Belltown
Did Not Advance,10,2,6,"Scope to budget, need more clarification",17-564,,Safer walkways in Lake City,"since 1980 I have walked in Lake City for fun, function, and fitness.  Of course, sidewalks are expensive and rare in our neighborhood.  My suggestion, to make walking both safer and more pleasant, would be to dedicate more of the road, particularly on side streets to walking space.  Of course, this will impact the current predominant use, parking cars.  Where sidewalks are not feasible could we not, at the very least, change some of the nose-in parking (which takes up nearly all the spare roadside) to parallel parking on one side of the roads?  As it is now, short, development required sidewalks are frequently STOPped by nose-in parked vehicles on the very next property, all perfectly legally.  The decision I usually make is to skip these short intrusions and walk, somewhat nervously, along the street's edge, mostly in on the street side of these nosed in vehicles.    A simple change like this will ruffle feathers of parkers and property owners where parallel parking is newly required, but the safety enhancement and cost of this change in use of city/public property would be a great improvement for the ever increasing pedestrian population!",See above,"47.721782, -122.294778","Many areas of Lake City, especially side street near the core of the commercial district and particularly in and near multi-family development areas.",Walkways,SDOT,All pedestrians in these areas and their families,5,Lake City
Did Not Advance,2,2,2,,17-565,,Improvements to Northacres Park,There needs to be a fence with a gate to protect children playing at the water park in Northacres Park from traffic on First Avenue NE.,"Build a fence with a gate along the east side of First Avenue NE, north of the Northacres Park parking lot.","47.722000, -122.328920",Northacres Park,Park Equipment,Parks,"Families, children, drivers, and neighbors in and around Northacres Park",5,Haller Lake
Did Not Advance,16,16,16,,17-566,,Ped improvements along 27th Ave NE, 27th Ave. NE Greenway still unsafe to walk .  With drainage ditch on the west side of 27th Ave. people cannot walk against traffic going north.  We have to walk on the east side with traffic coming up behind us .   Can culverts be installed and drainage ditch covered with gravel ?,,"47.722095, -122.298706",27th Ave. Greenway ,Walkways,SDOT,Everyone who walks on the so-called 27th Ave. Greenway,5,Lake City
Did Not Advance,16,,16,,17-568 ,With 17-566,Ped improvements along 27th Ave NE,"Unclear where people should walk on 27th Ave NE, Olympic Hills neighborhood",Painted walkway,"47.722910, -122.299100","27th Ave NE in Olympic Hills, Lake City",Walkways,SDOT,"The many people who walk through the neighborhood to walk dog, push stroller, access library and center of Lake City",5,Lake City
Did Not Advance,16,,16,Need to confirm if N Gwy program has additional work planned.,17-569 ,With 17-566,Ped improvements along 27th Ave NE,27th Ave NE Greenway needs further safety improvements,"(1) Signs at NE 130th Street and 27th Ave NE indicating it is a two-way stop  (2) 20 MPH signs  on 27th Ave NE at a NE 130th and NE 137th  (3)""Slow, Children"" signs on 27th NE at NE 133rd and NE 135th  (4) 20 MPH sign on 27th NE at NE 134th  (5) Painted crossing on 27th NE at NE 133rd where park, passage to Olympic Hills Elementary school is located  (6) Greenway/20 MPH signs on NE 137th on both sides of 27th NE so drivers know they are approaching a Greenway","47.722910, -122.299100","Along the Olympic Hills Greenway, 27th Ave NE",Traffic-Calming,SDOT,All of the many walkers and bicycle riders on the OH Greenway,5,Lake City
Did Not Advance,6,2,4,,17-571,,"Reduce a lane on N 130th, near Aurora.",Speeding cars,"Road diet on 130th between 99 and I 5. N 130th st becomes 1 lane of traffic each direction both east and west of this short section of road. Reducing a lane of traffic each way could slow traffic which is routinely is faster than the 30 mph speed limit. This would make walking safer, especially for students of Ingraham high school. ","47.723240, -122.344970",N 130th st between Aurora and I 5,Traffic-Calming,SDOT,"Residents of the haller lake neighborhood, cyclists, pedestrians, students at Ingraham high school, bus riders. ",5,Haller lake
Did Not Advance,8,5,6.5,,17-572,,Trail Improvements near Thornton Creek Park,Washed out and/or mud-filled trails in Thornton Creek Park.,"A boardwalk for the area connecting the Kingfisher Natural Area to the rest of the Thornton Creek Park that is particularly marsh and muddy much of the year.  An improved trail with gravel and stairways for the main trail connecting along 17th Ave NE.  Lastly, a few extra boulders within Thornton Creek at the 17th ave NE crossing to reinforce the north side as well as provide better pedestrian crossing.  The north end is lacking in options.","47.723316, -122.317123",Thornton Creek Park,Walkways,Parks,All the neighborhood people who walk through the park including pedestrians avoiding the long detours necessary to go around the creek all the way to 21st or along busy and mostly unimproved 15th Ave. NE,5,Maple Leaf
Did Not Advance,10,14,12,,17-573,,Crossing improvments @ NW 3rd Ave & 130th St,Dangerous to cross 3rd Ave NW @ 130th St,Improve crossing @ 3rd Ave NW & 130th St,"47.723400, -122.361152",3rd Ave NW & 130th St,Crossing Improvements,SDOT,"Residents, families, Broadview K-8 students walking to school",5,Broadview
Did Not Advance,14,17.5,15.75,,17-574,,"Repave path between 3rd Ave NW & Greenwood, along N 130th St ","Walkway is a tripping hazard, not ADA accessible","Improve walkway between 3rd Ave NW and Greenwood, along NW 130th St. ","47.723429, -122.360336","3rd Ave NW and Greenwood, along NW 130th St. ",Walkways,SDOT,"Broadview K-8 Students, neighbors, pedestrians",5,Broadview
Did Not Advance,20,17,18.5,,17-580,,Crossing improvments @ Greenwood Ave & NW 132nd St ,N. 132nd St is used by many kids on their way to Broadview-Thomson K8. There are no continuous sidewalks so kids must cross at some point. N. 132nd must also be crossed to go south on Greenwood Ave. N. to get to the school.  It's a busy street that cars drive on quite fast.,Add: striped crosswalk at N. 132nd & Greenwood Ave N.  Add: striped crosswalk at N. 132nd & 1st Ave N.  Add: speed reducing crosswalk or bumps.,"47.72506, -122.35557",N. 132nd. street between Greenwood Ave N. and 3rd Ave N.,Crossing Improvements,SDOT,The children and drivers on their way to ,5,Broadview
Did Not Advance,20,14,17,,17-582,,Improve walkability near Broadeview-Thompson K-8,Sidewalks on N. 132nd street (near Lutheran Church),"N. 132nd street is a main avenue of access to Broadview-Thomson K-8 school.  It is poorly lit, has intermittent sidewalks, and giant mud pits, as well as no marked crosswalks or speed modifications.  This street needs: lights, sidewalks, and speed bumps.","47.725060, -122.355570",N. 132nd. street between Greenwood Ave N. and 3rd Ave N.,Crossing Improvements,SDOT,The large number of children and parents who access the school on this street.,5,Broadview
Did Not Advance,8,8,8,,17-584,,Speed bump on NE 135th St and 35th Ave NE (between NW and NE corners),"Drivers use NE 135th as a shortcut when they don’t want to wait for the green arrow to go southbound on Erickson Pl NE and NE 137th St, so they continue South on Lake City Way NE, then turn left on NE 135th and they almost never make a complete stop at the Stop sign, thus making a right turn (South) on 35th Ave NE without stopping for pedestrians; because of this, collisions have occurred, and neighbors are afraid to be ran over by them.",Speed bump on NE 135th St and 35th Ave NE (between NW and NE corners),"47.726431, -122.290956",NE 135th St and 35th Ave NE (between NW and NE corners),Traffic-Calming,SDOT,"Parents with kids who cross at this intersection to go to Cedar Park Elementary or the park next door, as well as seniors who walk from the senior housing on NE 137th to the Lake City hub, and viceversa.",5,Lake City
Did Not Advance,14,16,15,,17-585,,Improve crossings near Cedar Park Elementary School,Cedar Park Elementary school is without dedicated crosswalks- children dart across three residential streets to get to and from school,"demarcate crosswalks, with paint and/ or lighted beacons","47.726484, -122.288230","Cedar Park Elementary School (crosswalks spanning 37th Ave NE, 39th Ave NE, NE 135th St)",Crossing Improvements,SDOT,students / pedestrians / residents,5,Lake City
Did Not Advance,16,16,16,,17-586,,Alert drivers to bike trail @ N 135th St & Linden Ave N,"Drivers unfamiliar with the bike trail along Linden, often turn into the bike path thinking it is another lane. ",Add more signage to alert drivers that there is a bike path there at 135th & N. Linden Ave,"47.727037, -122.347805",135th & N. Linden Ave,Signage,SDOT,"Drivers, bicyclist, trail users",5,Bitter Lake
Did Not Advance,16,14,15,,17-587,,"Better signage on Interurban trail, as it approaches intersections.",Bike trail is used by bikes and peds - can be dangerous when the two collide.  Need to alert people that there are multi-users of the trail.  ,Add more signage to alert drivers that this is a bike path.,"47.727037, -122.347805",N 143rd st & Bike Trail,Signage,SDOT,"bikes, peds",5,Bitter Lake
Did Not Advance,11,10,10.5,,17-589,,Add crosswalk @ 137th and 1st Ave N,We live in Haller Lake. There are a lot of really cool parks and schools nearby. I am hoping we can add a couple crosswalks to the neighborhood to make it safer to walk from 137th and 1st Ave to North Acres Park. Crossing the street at that intersection is very dangerous and there isn't a good sidewalk to get us to the next cross walk. ,,"47.728200, -122.328910",137th St and 1st Ave in North Seattle,Crossing Improvements,SDOT,The neighbors in the Haller Lake area,5,Haller Lake
Did Not Advance,20,17,18.5,,17-590,,Improve walkability near Broadeview-Thompson K-8,The sidewalk on Greenwood Ave N. (west side) ends between N. 136th St. and N. 134th. Pedestrians must walk around a hill and trees almost into Greenwood Ave. itself in order to continue south. This is in a mandatory school walk zone.,"Either remove the trees and the hill, or route the sidewalk around them.  ","47.72826, -122.35556","Greenwood Ave N. between N. 136th and N. 134th, west side.",Walkways,SDOT,Every person walking on that side of Greenwood.,5,Broadview
Did Not Advance,20,6,13,,17-591,,Low-cost sidewalk between Greenwood & Linden on NW 137th St,Unsafe for pedestrians to walk,"Install low-cost sidewalk on 137th St, between Greenwood & Linden","47.728423, -122.352182","NE137th St, between Greenwood & Linden",Walkways,SDOT,,5,Bitter Lake
Did Not Advance,20,6,13,,17-593,,Low-cost sidewalk between Greenwood & Linden on NW 137th St,"Our section of N. 137th is the only cross street between N. 130th and N. 143th and get lots of cut-through traffic, walkers on the way to Broadview Thompson Public Elementary School, bikers on the way to the Inter-Urban trail on others.  There is no walking path and the hill on N. 137th at the intersection of Linden is narrow, steep and blind to drivers making it very dangerous.  Cars have recently started parking at the top of the hill, making it even more dangerous.","Last year a group of neighbors created ""Team 137"".  We received a small and simple Neighborhood Matching Grant to hire a traffic engineer to study our stretch of street and produce a full report with proposed solutions.  The solutions have been vetted by SDOT and received input from over 100 neighbors who participated in the identification of issues and analysis of solutions.  Solutions include wheel stops to be placed along the south side of the road in order to create a walking path separated from the cars.  ""The Hill"" is addressed with one-lane driving sections and car waiting areas, and removal of the parking at the top of the hill.","47.728700, -122.355560",N. 137th Street between Greenwood Ave. N and Linden Ave. N.,Crossing Improvements,SDOT,"Students and parents of Broadview Thomson Elementary School (it is a major route to school), all pedestrians, bicyclist and drivers that use our neighborhood.  N. 137th is a route to connect to the Interurban bike path, and is also a major route to connect the Broadview neighborhood with the commercial district and community center near Aurora.",5,Bitter Lake
Did Not Advance,14,6,10,need coordination with WSDOT,17-594,,"Crossing improvements on Lake City Way, between NE 137th and NE 145th",No safe crossing of Lake City Way between NE 137th and NE 145th; people are running across LCW rather than walk back or up to a crosswalk. ,A rectangular rapid flashing beacon at NE 140th,"47.730090, -122.292340",NE 140th and Lake City Way NE,Crossing Improvements,SDOT,Anyone who walks in the area.,5,Lake City
Did Not Advance,18,10,14,,17-624,,Crossing Improvements @ Greenlake & Stone Way N,Flashing crossing lights at stone Ave n and Greenlake Way ,Flashing lights or a crosswalk light ,"47.665020, -122.340330",Stone ave n and Greenlake way ,Crossing Improvements,SDOT,Everyone especially children walking to school ,4,Green Lake
Did Not Advance,17,14,15.5,,17-595,,Bus Island Installation on Linden Ave N,"SHAG residents have difficulty loading/block the cycle path.  Senior Housing Assistance Group at Interurban has many buses, taxis, and minivans picking up residents. Many residents are disabled. A cycle track passes in front of the building, which blocks vehicles from approaching the curb and picking up residents. Very difficult for the disabled to access because of the curb.","On Greenwood there are bus stops (Metro) that allow riders to cross the cycle track and load onto the bus. A loading zone like that in front of the SHAG would allow residents to load and unload safely, including disabled residents,","47.730340, -122.347530",14002 Linden Ave N,Other,SDOT,Residents of SHAG. Cyclists who use interurban.,5,Bitter Lake
Did Not Advance,2,5,3.5,,17-596,,Improve crossing @ 140th St & Aurora,Drivers taking really fast right and left turns at 140th & Greenwood Ave - unsafe for pedestrians crossing the street.,Improve crossing @ N 140th St & Greenwood Ave,"47.730501, -122.355658",N 140th St & Greenwood Ave,Crossing Improvements,SDOT,Pedestrians,5,Broadview
Did Not Advance,2,2,2,,17-597,,Add BBQ pits to Bitter Lake Resevoir,Need more things to do in nearby park.  We live in a multi-unit building with not a lot of places to hang out.,Add a bbq pit to the Reservoir Park @ Bitterlake,"47.731165, -122.348964",Bitter Lake Park (Resevoir),Park Equipment,Parks,"Nearby residents, many of whom are renters, and park users",5,Bitter Lake
Did Not Advance,10,10,10,,17-600,,Improve intersection @ Greenwood & 143rd St ,"North Bound Street light at Greenwood Ave N and 143rd Street, 98133 needs better timing. Often, cars are waiting in the middle of the intersection, waiting on the 145th light to change. They don't even care that they're breaking the law. Also, the walk buttons do not do anything, as the light is timed based, and will wait for the time instead of let the patron walk. Which is necessary, as the light timing makes it very difficult to catch the South Bound bus.","Add ""eyes"" to the intersections of 143rd and 145th on Greenwood Ave. Make the walk signal to cross Greenwood user activated, instead of timed. ","47.732330, -122.355570","North Bound Street light at Greenwood Ave N and 143rd Street, 98133",Crossing Improvements,SDOT,Pedestrians and law abiding citizens. The below Seattle City Council District map is stupid and confusing. IDK what number it really is.,5,Broadview
Did Not Advance,2,10,6,,17-602,,"Traffic-calming on 143rd St, between Linden & Greenwood",Cars speeding on N 143rd St,"Install more 20 mph signs along N 143rd street, between Greenwood and Linden Ave ","47.732579, -122.351238","N 143rd street, between Greenwood and Linden Ave ",Signage,SDOT,"Residents living along 143rd, mostly apartment dwellers. ",5,Bitter Lake
Did Not Advance,20,10,15,,17-603,,"Traffic-calming on 143rd St, between Linden & Greenwood","Cars go way too fast on N. 143rd St, between Linden & Greenwood",Radar speed signs or speed humps,"47.732579, -122.351238","N. 143rd St, between Linden & Greenwood",Signage,SDOT,"Residents, mostly apartment dwellers, transit users, pedestrians",5,Bitter Lake
Did Not Advance,2,10,6,,17-604,,"Add lights to 143rd St, between Greenwood & Linden Ave","Unsafe to walk in the dark on N143rd St, from Greenwood to Linden Ave ","Install lighting on the north side of 143rd St., between Greenwood and Linden Ave N.","47.732579, -122.351238","North side of 143rd St., between Greenwood and Linden Ave N.",Lighting,SDOT,"Pedestrians, renters, Tri-Court residents, transit users",5,Bitter Lake
Did Not Advance,20,8,14,,17-605,,Delineate sidewalk from road on N Aurora Ave,"Feels unsafe to walk on Aurora Ave, between N 143rd and 137th St.  Businesses encroaching on the ROW",Delineate pathways for pedestrians so that it is safer to walk.  ,"47.733272, -122.345359","Aurora Ave, between N 143rd and 137th St",Walkways,SDOT,"Pedestrians, patrons of local businesses",5,Bitter Lake
Did Not Advance,8,6,7,need more clarification,17-606,,"Better signage on 15th Ave NE, from NE 145th - 125th St",15th Ave NE (NE 145th St - NE 125th St),"road diet speed indicator sign, etc","47.73397, -122.31277",15th Ave NE (NE 145th St - NE 125th St),Signage,SDOT,"people driving, walking, and crossing 15th Ave NE",5,Jackson Park
Did Not Advance,2,9,5.5,,17-607,,Crossing improvments @ NW 3rd Ave & 145th St,Dangerous to cross 3rd Ave NW & 145th St,Crossing improvements @ 3rd Ave NW & 145th St,"47.734023, -122.360808",3rd Ave NW & 145th St,Crossing Improvements,SDOT,,5,Broadview
Did Not Advance,14,14,14,"Coordination with WSDOT, City of Shoreline",17-608,,Improve crossing @ 145th & Aurora,"Dangerous to cross at 145th & Aurora, due to cars speeding through turns. ",Give pedestrians lead crossing signal before light turns green. ,"47.734109, -122.345144",145th & Aurora,Crossing Improvements,SDOT,"Pedestrians, seniors",5,Bitter Lake
Did Not Advance,12,12,12,Coordination with City of Shoreline,17-609,,ADA improvements to intersection fo 145th St & Greenwood,Visually impaired people cannot safely cross at intersection of N 145th St & Greenwood,Add the sound to the crosswalks at N 145th St & Greenwood,"47.734167, -122.355530",N 145th St & Greenwood,Accessibility Improvements,SDOT,Visually impaired residents,5,Broadview
Did Not Advance,16,0,8,,17-610,,"Improve busstop conditions on 28th Ave NE, between NE 125th & NE 127th ",Unsafe pedestrian conditions across from Lake City library for people walking and people waiting for #64 and #65 bus,Install walkway and curbstops on east side of 28th Ave NE between NE 125th and NE 127th.,,see above,Traffic-Calming,SDOT,All who walk there and people who use bus stop,5,Lake City
Did Not Advance,18,10,14,,17-626,,Crossing Improvements @ Greenlake & Stone Way N,Greenlake Way and Stone Way is a very wide intersection  to cross on the way to school.  There is no crossing guard and cars rarely stop for us.,"My dream would be an intersection redesign, but flashing cross walk signs would be good, too.","47.665020, -122.340330",Stone way & Greenlake Drive ,Crossing Improvements,SDOT,Families walking to Daniel Bagley Arlen.,4,Green Lake
Did Not Advance,14,14,14,,17-612,,Crossing improvements near Ross Playfield,Cars speed on 3rd Ave NW and there is no way to cross safely to get to Ross Park.,We need a light or blinking crosswalk on third ave NW by Ross park.  There is a school below 3rd with students walking down the street and crossing.  There is a store across the street from the park that students frequent.  Third NW is a speedway and we could use your support.  ,"47.658960, -122.360800",Third Avenue NW and 43rd NW.  Between Ross Park and small market.,Crossing Improvements,SDOT,"The neighbors, the small school down the street (Pacific Crest School), the Market that's on 3rd and all who drive down 3rd Ave NW and find it hard to see pedestrians,  Bicyclists riding on 3rd NW.",6,Ballard
Did Not Advance,14,14,14,,17-613,,Crossing improvements near Ross Playfield,"It is scary to cross 3rd Ave NW with children to get to the park.  My children are old enough to go to the park by themselves but I just recently witnessed a close call at this crosswalk and don't feel comfortable having my children use this crosswalk by themselves.  People drive too fast on 3rd ave nw and park too close to the crosswalks, you have to step in the road to see if cars are coming.",Flashing light or stop light that turns red only when a pedestrian needs to cross.  ,"47.660057, -122.361099",Ross Park on 3rd Ave NW 98107,Crossing Improvements,SDOT,"Children, families, individuals crossing the street",6,Ballard
Did Not Advance,14,14,14,,17-614,,Crossing improvements near Ross Playfield,Insufficient driver awareness of crosswalk 3rd Ave NW at 44th St directly across from Ross Park,Button with the flashing lights.  Painting on Curb to show the 30 feet that are not supposed to be parked in.,"47.660500, -122.360790",3rd Ave NW at 44th St,Crossing Improvements,SDOT,Children and parents crossing to the park.  School children and bussing since there is no actively announced crossing for 4 or 5 blocks in each direction.,6,Ballard
Did Not Advance,14,14,14,,17-615,,Crossing improvements near Ross Playfield,Crossing 3rd avenue nw by 44th Avenue where it runs into Ross park is dangerous for families and cars.  ,"Providing a traffic signal or a crosswalk flashing light would slow cars down along that section of 3rd Ave and make them more aware of pedestrians, particularly small children","47.660500, -122.360790",44th street and 3rd Avenue northwest,Crossing Improvements,SDOT,Young citizens of seattle,6,Ballard
Did Not Advance,14,14,14,,17-616,,Crossing improvements near Ross Playfield,"Ross Playfield is a heavily used neighborhood park. Cars go very fast on 3rd avenue near Ross Playfield. Kids, adults, pets, strollers and bikes have to cross the street at the crosswalk to get to school, bus stops, sports and playground. Traffic moves fast on 3rd avenue which has no stops between Leary and 46th /Market. Cars see the crosswalk when they are very close to it and have to brake hard to stop for kids. Our crosswalk at 3rd Ave and 44th St NW would benefit from flashing lights to be sure that traffic notices the crosswalk and slows down well in advance of the playfield.","The crosswalk at 3rd and 44th should have flashing lights in the road and on a sign to make sure that drivers can see the crosswalk from farther off. Currently cars notice the crosswalk when they are on top of it, and are often screeching to a halt just in time. ","47.660500, -122.360790",3rd Ave and 44th Street NW,Crossing Improvements,SDOT,All the children and families who use the Ross Playfield would really appreciate a flashing crosswalk to make crossing safer especially in the darker winter months,6,Fremont
Did Not Advance,17,8,12.5,,17-617,,Square up intersection of N. 45th St & Phinney Ave N,"The intersection of N 45th St and Phinney Ave N is dangerous to cross as a person walking. The crossing distances are quite significant and cars and buses traveling south are coming from around a corner, making it even more dangerous. Many people cross this intersection getting to and from the bus stops at 46th and Phinney. ",Use paint and post to square up the intersection. Doing so could also provide some great place-making opportunities.,"47.66143, -122.35419",N 45th St and Phinney Ave N,Crossing Improvements,SDOT,"All road users, but particularly people walking, including many people who are walking to/from the bus. This is an especially important project for people who are less able-bodied as well as children. ",6,Fremont
Did Not Advance,17,14,15.5,,17-620,,Improve walkability in Ballard,"Streets are scary to cross, crossings are few, sidewalks are in poor shape",There is no single way to get from lower Ballard East to West across 15th Ave NW - two closest places to cross are again Leary way and Market st with Leary way being not very pleasant environment to be in due to hordes of the stoned under-bridge dwellers.,"47.663660, -122.376050",15th Ave NW & Leary,Other,SDOT,All people walking in Ballard,6,Ballard
Did Not Advance,6,10,8,Scope to budget,17-621,,Repair sidewalk along 8th Ave NW,"Streets are scary to cross, crossings are few, sidewalks are in poor shape",Parts of sidewalk on the west side of 8th Ave NW between 47th and 50th street are in a very bad condition. Coupled with overgrown trees at places and lack of lighting makes it for a miserable walking experience.    There's not a single regulated pedestrian crossing on 8th Ave NW between Leary way and NW Market st.    ,"47.663660, -122.376050",8th Ave NW & 47th St,Walkways,SDOT,All people walking in Ballard,6,Ballard
Did Not Advance,17,16,16.5,,17-622,,"Program longer crossing times for pedestrian signals, prohibit cars from turning right on red at NW Leary St ",It is difficult to travel east-west along Leary and walk under 15th Ave. The crossings are not timed and are too short. The choice is to either sprint across both crossings or use two very long cycles. ,"Prohibited signs for cars to turn right on red, allow longer crossing times, coordinate single crossing to clear the divided intersection. ","47.663700, -122.376124","NW Leary, under 15th Ave NW, Ballard",Crossing Improvements,SDOT,Every pedestrian. This is also a rapid ride stop. ,6,Ballard 
Did Not Advance,18,10,14,,17-623,,Crossing improvements at Stone Ave N & Greenlake Way N,"It's scary to cross the street at Stone Way N and Green Lake Dr N. 1 block from Bagley Elem, the road is very wide & drivers often don't see pedestrians in the intersection. It's more pronounced now that school starts before 8 - darker out + more cars.",A button to push that would cause lights to flash.,"47.665020, -122.340330",Stone Ave N & Green Lake Way N,Crossing Improvements,SDOT,All pedestrians and especially those walking to and from school. ,4,Green Lake
Did Not Advance,16,14,15,,17-627,,Improve ped visibilty @ N 50th & Whitman Ave ,Cars not seeing the stop sign and running through the crosswalk.  A cement barrier  in the middle of the intersection blocking west bound traffic from seeing pedestrians coming north to the park and zoo,Flashing beacons at the existing crosswalk,"47.665028, -122.346025","Whitman Ave and N 50 Street.  One block east of Aurora ave,  directly across from large parking lot going into Upper woodland park",Crossing Improvements,SDOT,Pedestrians trying to cross N 50 Street to go to Woodland Park or to the zoo from east of Aurora.  Several schools use this park for cross country meets and have families crossing this intersection to get into the park,4,Phinney Ridge
Did Not Advance,16,17,16.5,,17-628,,Crossing improvement @ Dayton Ave N and N 50th St,"At least twice a day the entire KapKa Cooperative School of 60 kids crosses the street at 50th/Dayton. The kids cross to what they call ""Canon Park"" but the official name is War Garden Public Park. We have protocol in place to help the kids safely cross - lots of parents, a handheld stop sign and kids in neat rows. However, the traffic there can be very fast. In my opinion, the cars are fast (particularly headed east) because they come off a traffic light that is around a curve - it's like launching off a race line and they curve around a blind corner. When they come from the east, they are hurtling up hill and often have plenty of time to see us - we've even make contact with several of the drivers but to no avail.",To re-paint the very worn/hardly visible crosswalk; to install a flashing crosswalk; we could do speed bumps but I've never really seen that slow drivers!,"47.665045, -122.352517",50th & Dayton; south of Woodland Park Zoo and the War Memorial Public Garden,Crossing Improvements,SDOT,KapKa Cooperative School; Northwest Montessori School; residents of the Phinney neighborhood; Woodland Park Zoo attendees,6,Phinney Ridge
Did Not Advance,16,17,16.5,,17-629,,Crossing improvement @ Dayton Ave N and N 50th St,Flashing lights need to be added to pedestrian crosswalk at 50th and Dayton. Cars driving east/west on 50th go very fast and cars turning onto 50th from Dayton often become impatient when pedestrians are waiting to cross.,Flashing pedestrian signal (pedestrian push button activated) at the crosswalk and additional signage at 50th and Dayton. Or a pedestrian activated light.,"47.66505, -122.35271",50th and Dayton pedestrian corsswalk,Crossing Improvements,SDOT,"Zoo attendees, students from adjacent schools, anyone wanting to use the park on the south side of the zoo.",6,Phinney Ridge
Did Not Advance,16,17,16.5,,17-630,,Crossing improvement @ Dayton Ave N and N 50th St,"Our school, with 60 students, uses the crosswalk at 50th and Dayton 2-3x a day to reach the War Memorial Garden which is just southwest of Woodland Park Zoo).   There is another school in the area (Northwest Montessori), which also makes daily use of the War Memorial Garden, as does a church pre-school and visitors to the zoo.  Cars frequently exceed the speed limit on this stretch of 50th, and do not consistently stop when pedestrians are ready to cross.  The ",Better markings/flashing lights at crosswalk  Brighter/bolder surface painting   Improved signage,"47.665050, -122.352640",Dayton Ave North and North 50th Street,Crossing Improvements,SDOT,Two schools and one preschool  Area residents  Visitors to the zoo,6,Phinney Ridge
Did Not Advance,14,2,8,,17-637,,"Traffic-calming on Greenwood, between 52nd & 55th St",Vehicular speeding on a road ,Speed humps and stop signs,"47.666850, -122.355380","Greenwood Avenue North, between 52nd & 55th streets",Traffic-Calming,SDOT,"It is a street that supports a wide range of residents--seniors, disabled, school children, dog walkers and church attendees.  ",6,Phinney Ridge
Did Not Advance,7,2,4.5,,17-640,,Pedestrian Visibility Improvements on Phinney Ave N/Greenwood Ave N between N 50th St. and N 85th St,The intersections of non-arterials with Phinney/Greenwood from 50th to 85th have very poor visibility for cars turning onto Phinney/Greenwood. One must pull clear across the bike lane to see oncoming traffic (including bikes!),"When there are no cars parked immediately next to the corner there is decent visibility - enough that cars won't be pulling out right in front of bikes because they can't see the biker unless they pull up that far, or indeed into the lane in front of other cars as well (something else that frequently happens when I drive there). A simple solution would be no parking north/south of here one car length from the corner. ","47.668056, -122.354422",Phinney Ave N/Greenwood Ave N between N 50th St. and N 85th St,Signage,SDOT,"The many many people who drive, bike, and walk along Phinney/Greenwood",6,Phinney Ridge
Did Not Advance,20,13,16.5,,17-646,,Accessibility Improvements @ 20th & Market St,"In the busy intersection of Market and 20th in Ballard, access transitioning off the sidewalk to crossing the street is Not placed in the direct walking path of the crosswalk. It is situated into trafficafter the crosswalk. I walk with my baby in the stroller and I have to go into traffic to access those dips to get from one corner of the street to the other. I can't imagine what people in wheelchairs, canes, or walkers (there's several retirement homes within a quarter mile of this intersection) must feel. I end up having to make eye contact and wave my hand to ensure drivers see us going into where their cars would normally be stopped at a cross walk.","It would be beneficial to build an easement on the pedestrian walking path of the cross walk, and like other corners we're starting to see in Ballard, make it ADA compatible.","47.668670, -122.382140",All four corners of 20th and Market Street in the Ballard Neighborhood (zip 98107),Accessibility Improvements,SDOT,"All pedestrians,young and old, and people with special needs.",6,Ballard
Did Not Advance,10,10,10,,17-647,,Crossing Improvements @ Kirkwood & Meridian,Kirkwood between 56th as it intersects into Meridian. Cars frequently speed as well as buses that traverse this street.  There are no cross walks or pedestrian signs. ,Add cross walks at a few of the intersections and speed bumps like there are on 56th Street between Latona and Kirkwood.  ,"47.668906, -122.331891",Kirkwood from 56th street until the intersection with Meridian. ,Crossing Improvements,SDOT,All the families especially with children in the homes along this corridor. There are numerous children in this community under 6 years old. ,6,Green Lake
Did Not Advance,0,0,0,Scope to budget,17-667,With 17-668,Accessibility Improvements @ 71st St & 6th Ave NE,Challenges for persons in wheelchairs and limited mobility to navigate the sidewalk.,Repair broken sidewalk,"47.680190, -122.321780",71st & 6th Ave NE,Accessibility Improvements,SDOT,Persons with limited mobility,6,Green Lake
Did Not Advance,3,6,4.5,,17-648,,Traffic Calming on NW 56th St,"NW 56th St between 3rd Ave NW and 1st Ave NW on Phinney Ridge has two major problems: one, the chicanes currently there to slow down traffic just cause dangerous situations where it is unclear who should yield to whom while doing little to actually calm traffic. Many times I have been biking through those two sections of the street only to have a car come barreling straight at me with no regard for my safety or that of my daughter who is often in a child seat behind me on the bike. My personal preference would be to replace these with some other speed calming system - perhaps speed bumps. At the very least having signage that clarifies who should be yielding would be nice.    Second, there is no curb, just the rough edge of the pavement and then a drop into dirt, a recipe for disaster for bikers.",,"47.669650, -122.359189",NW 51St between 3rd Ave NW and 1st Ave NW,Other,SDOT,Everyone driving on that street.,6,Phinney Ridge
